,Empty_droplet_sum,Cell_sum,Soup_probability,Selected
OR52I2,2.0,0.0,1.0,False
EDF1,34064.0,18995.0,0.6420022993271641,False
AC021491.1,2.0,0.0,1.0,False
BCAS1,14.0,5.0,0.7368421052631579,False
BCKDHA,48.0,21.0,0.6956521739130435,False
ZGLP1,72.0,56.0,0.5625,True
OR8G1,30.0,25.0,0.5454545454545454,True
AL031590.1,25.0,21.0,0.5434782608695652,True
EYS,101.0,66.0,0.6047904191616766,True
KCNA3,2.0,0.0,1.0,False
AL390728.6,888.0,582.0,0.6040816326530613,True
BMS1,3076.0,1588.0,0.6595197255574614,False
MSH5,30.0,19.0,0.6122448979591837,True
NDUFA9,2465.0,1412.0,0.6358008769667268,False
STX1B,35.0,19.0,0.6481481481481481,False
WIPF1,5145.0,2371.0,0.6845396487493347,False
AC093330.1,6.0,4.0,0.6,True
NCOA7,4136.0,2550.0,0.6186060424768173,True
ISM1,12.0,5.0,0.7058823529411765,False
DUBR,1196.0,405.0,0.7470331043098064,False
AC103718.1,4.0,0.0,1.0,False
ZNF609,2494.0,1475.0,0.6283698664651045,True
COL1A1,131.0,70.0,0.6517412935323383,False
SLC12A9-AS1,16.0,12.0,0.5714285714285714,True
DOT1L,3263.0,1885.0,0.6338383838383839,False
CHRNB4,27.0,13.0,0.675,False
AL117381.1,1.0,0.0,1.0,False
AL022328.3,16.0,6.0,0.7272727272727273,False
AC024267.3,5.0,4.0,0.5555555555555556,True
NFKB1,2138.0,1229.0,0.634986634986635,False
RAI2,1.0,0.0,1.0,False
SH3GL1,4870.0,2162.0,0.6925483503981797,False
ATP5IF1,20572.0,9841.0,0.6764212672212541,False
POFUT1,1254.0,728.0,0.6326942482341069,False
AC078881.1,1959.0,1156.0,0.628892455858748,True
AC011498.6,18.0,8.0,0.6923076923076923,False
LARS2,399.0,216.0,0.6487804878048781,False
CNOT6L,2088.0,1012.0,0.6735483870967742,False
WNT4,235.0,166.0,0.5860349127182045,True
FAM239B,11.0,9.0,0.55,True
PARVB,271.0,121.0,0.6913265306122449,False
SSR3,32450.0,18613.0,0.635489493370934,False
EIF3F,11231.0,6059.0,0.6495662232504338,False
B3GALT1,5.0,4.0,0.5555555555555556,True
PLSCR2,30.0,20.0,0.6,True
HNF4G,25.0,14.0,0.6410256410256411,False
CATSPERE,25.0,21.0,0.5434782608695652,True
SBF1,2169.0,1170.0,0.6495956873315364,False
PPIL2,1773.0,1000.0,0.6393797331410025,False
AL136985.3,6.0,5.0,0.5454545454545454,True
FMO4,146.0,93.0,0.6108786610878661,True
RPS21,115229.0,64731.0,0.6403034007557235,False
ZNF607,356.0,210.0,0.6289752650176679,True
HINT3,1560.0,729.0,0.6815203145478375,False
PDE11A,26.0,6.0,0.8125,False
RNF212,1.0,0.0,1.0,False
NSD1,2786.0,1649.0,0.628184892897407,True
LINC00437,1.0,0.0,1.0,False
AC009088.2,2.0,0.0,1.0,False
HELZ2,1858.0,1094.0,0.6294037940379403,True
CSNK1G2-AS1,4.0,4.0,0.5,True
AL121827.2,2.0,0.0,1.0,False
CDCA7L,2.0,0.0,1.0,False
LMAN2,29618.0,16544.0,0.6416099822364716,False
