,id_cp_interaction,interacting_pair,partner_a,partner_b,gene_a,gene_b,secreted,receptor_a,receptor_b,annotation_strategy,is_integrin
1301,CPI-CS085EF890A,ACVR_1B2B receptor_INHBB,complex:ACVR_1B2B receptor,simple:P09529,,INHBB,True,True,False,curated,False
1302,CPI-CS007ADC2D1,ACVR_1C2A receptor_INHBB,complex:ACVR_1C2A receptor,simple:P09529,,INHBB,True,True,False,curated,False
1303,CPI-CS0A5400A6A,ACVR_1C2B receptor_INHBB,complex:ACVR_1C2B receptor,simple:P09529,,INHBB,True,True,False,curated,False
1304,CPI-CC0490ADAF8,ACVR_1A2A_receptor_Activin_ligand_ab,complex:ACVR_1A2A_receptor,complex:Activin_ligand_ab,,,True,True,False,user_curated,False
1305,CPI-CC0E18AEFB6,ACVR_1A2B_receptor_Activin_ligand_ab,complex:ACVR_1A2B_receptor,complex:Activin_ligand_ab,,,True,True,False,user_curated,False
1306,CPI-CC041F23977,ACVR_1B2A_receptor_Activin_ligand_ab,complex:ACVR_1B2A_receptor,complex:Activin_ligand_ab,,,True,True,False,user_curated,False
1307,CPI-CC0C18A9B16,ACVR_1B2B_receptor_Activin_ligand_ab,complex:ACVR_1B2B_receptor,complex:Activin_ligand_ab,,,True,True,False,user_curated,False
1308,CPI-CC0D97B02B1,ACVR_1C2A_receptor_Activin_ligand_ab,complex:ACVR_1C2A_receptor,complex:Activin_ligand_ab,,,True,True,False,user_curated,False
1309,CPI-CC099977BFA,ACVR_1C2B_receptor_Activin_ligand_ab,complex:ACVR_1C2B_receptor,complex:Activin_ligand_ab,,,True,True,False,user_curated,False
1310,CPI-CC02979D66D,ACVR_1A2A_receptor_Inhibin_ligand_A,complex:ACVR_1A2A_receptor,complex:Inhibin_ligand_A,,,True,True,False,user_curated,False
1311,CPI-CC003E0125E,ACVR_1A2B_receptor_Inhibin_ligand_A,complex:ACVR_1A2B_receptor,complex:Inhibin_ligand_A,,,True,True,False,user_curated,False
1312,CPI-CC05E2C9AF8,ACVR_1B2A_receptor_Inhibin_ligand_A,complex:ACVR_1B2A_receptor,complex:Inhibin_ligand_A,,,True,True,False,user_curated,False
1313,CPI-CC0CC548F18,ACVR_1B2B_receptor_Inhibin_ligand_A,complex:ACVR_1B2B_receptor,complex:Inhibin_ligand_A,,,True,True,False,user_curated,False
1314,CPI-CC0680A24B2,ACVR_1C2A_receptor_Inhibin_ligand_A,complex:ACVR_1C2A_receptor,complex:Inhibin_ligand_A,,,True,True,False,user_curated,False
1315,CPI-CC0BCF8F0E9,ACVR_1C2B_receptor_Inhibin_ligand_A,complex:ACVR_1C2B_receptor,complex:Inhibin_ligand_A,,,True,True,False,user_curated,False
1316,CPI-CC0C6A98CDA,ACVR_1A2A_receptor_Inhibin_ligand_B,complex:ACVR_1A2A_receptor,complex:Inhibin_ligand_B,,,True,True,False,user_curated,False
1317,CPI-CC0C3B561BC,ACVR_1A2B_receptor_Inhibin_ligand_B,complex:ACVR_1A2B_receptor,complex:Inhibin_ligand_B,,,True,True,False,user_curated,False
1318,CPI-CC0E6C03753,ACVR_1B2A_receptor_Inhibin_ligand_B,complex:ACVR_1B2A_receptor,complex:Inhibin_ligand_B,,,True,True,False,user_curated,False
