,EVT_1,EVT_2,GC,VCT,VCT_CCC,eEVT,iEVT
ZNF236,0.48122004,0.34407198,0.20914233,0.5341945,0.51823026,0.3497768,0.32381955
SMARCC1,1.5429108,1.5637176,1.0360638,1.1507983,1.4439428,1.6107903,1.3415897
ZBTB7C,0.060991827,0.04221891,0.022141514,1.5179553,0.5922875,0.040134616,0.043983515
SNAI1,0.041410618,0.040711805,0.19547096,0.0063199294,0.02129355,0.08673831,0.04842187
SOX13,0.09065926,0.103994675,0.028323634,0.14750648,0.30296084,0.092778906,0.12181591
MTA1,0.12926821,0.12542672,0.11604955,0.14842619,0.21950053,0.13343343,0.12219328
HMG20B,0.40441597,0.31235018,0.22581947,0.23525354,0.41403216,0.2782973,0.22949892
KAT6A,1.2231972,1.4987667,0.6752841,0.8901443,0.98694086,1.4407814,1.3404564
PLAG1,0.13939019,0.14032409,0.14179546,0.23793973,0.098606534,0.13469781,0.15691787
FOXP1,0.94219804,0.9191923,0.8249649,2.193671,1.7847141,0.59241754,1.2408665
TFDP2,1.0621264,0.7448834,0.34659204,1.5207622,1.2031817,1.1897672,0.7492998
ZNF644,0.8689287,0.66524214,0.5377369,0.8994926,0.85212296,0.7156918,0.61269295
ZNF175,0.073590726,0.07440478,0.02396463,0.34846675,0.17113924,0.070416324,0.06958817
ELF1,1.4917419,1.5014322,0.79032266,1.2774172,1.5094208,1.364104,1.2746875
TFAP2A,0.9263217,0.9807653,0.7343705,0.8834798,0.74960595,0.8809693,0.77846533
ZBED5,0.06495664,0.05252529,0.1358615,0.15024856,0.12425422,0.10163396,0.07781073
