,EVT_1,EVT_2,GC,VCT,VCT_CCC,eEVT,iEVT
STAT1,0.33950388,0.38103235,0.5553949,0.10857267,0.19176167,0.26510364,0.51977867
FOSL1,0.012163073,0.012016588,0.0,0.0065908944,0.061004538,0.0,0.0046590287
ZNF354B,0.051161166,0.06397666,0.04906867,0.2820125,0.108332425,0.21452717,0.0797843
FLI1,0.011618269,0.035532452,0.10221833,0.025619555,0.021808067,0.099236585,0.035307936
JUN,0.13749684,0.23681498,0.0,0.9790637,0.93627244,0.075851224,0.23963173
GATA3,1.769772,1.8601835,2.1352544,0.9930607,1.5758756,2.1261022,2.1028817
IRF6,0.09286094,0.07012214,0.0,0.34736383,0.25980955,0.08927553,0.051843777
PURA,0.20703503,0.27411732,0.4484278,0.32392433,0.25321212,0.188049,0.32756844
SMARCC1,0.7007221,0.87558967,1.1966182,0.71103776,0.73467237,1.4768566,1.0645593
ZNF43,0.17364408,0.2042276,0.07235688,0.28419048,0.22408421,0.40894142,0.3109314
KLF11,0.018048173,0.03453746,0.0,0.019380927,0.038156357,0.034921646,0.035256717
ZNF708,0.09792944,0.11697235,0.23684359,0.16422978,0.10191279,0.47449282,0.1609779
GATA2,0.71249133,0.57824624,0.7691838,0.30439606,0.5854109,0.5926345,0.5704655
DEAF1,0.05155852,0.0745366,0.12606172,0.13424663,0.113569885,0.2025642,0.09823588
TSC22D1,1.0269289,1.3615702,2.3572543,1.2879151,1.4133743,2.393702,1.9936625
ZNF354A,0.091396965,0.08649895,0.22493406,0.10813461,0.07476927,0.12911373,0.16046748
TCF25,1.0779774,0.9166444,0.6405528,0.9986556,0.9395219,1.3546666,0.876754
BATF2,0.0044771903,0.006816899,0.073480226,0.0012848431,0.00095783384,0.0,0.008322745
ZKSCAN1,0.123582445,0.21965756,0.12662436,0.35976088,0.21604699,0.59637755,0.34639516
TP63,0.026322983,0.041216485,0.0,0.598627,0.26486593,0.026801618,0.033086166
ZNF345,0.051633533,0.073505804,0.0,0.095855355,0.052862093,0.3743717,0.1478195
