,EVT_1,EVT_2,GC,VCT_CCC,eEVT,iEVT
ZFP14,-0.014265472,-0.059392255,0.047467865,0.092290364,0.045950036,-0.026666872
TEAD3,0.16457936,-0.09239022,-0.21232389,-0.18729484,0.40749446,-0.0076379874
ZNF443,0.005891676,-0.06324508,-0.12499507,0.14092784,0.07912626,-0.10269234
ZNF335,-0.044148408,-0.059282277,-0.2526348,0.0025027264,0.20643134,0.098999314
PRDM15,-0.06986104,-0.022656584,1.0041488,0.018111961,1.2575897,0.08366435
ZNF493,0.05847916,0.0015553676,-0.3745442,0.005012442,0.11995835,-0.08872234
ZNF414,0.12217306,-0.14206964,-0.42060873,0.09042535,0.050939612,-0.16584772
ZNF14,-0.066860795,-0.063966885,-0.20203826,0.08183413,0.8333374,0.056836028
ZNF43,-0.06717604,-0.098731585,-0.41473806,-0.017554855,0.5202903,0.17430225
ZNF468,0.072583556,-0.12786603,-0.39983356,0.059062697,0.030461457,-0.0747723
TEAD4,-0.05337044,-0.31728014,-0.4183484,0.6361508,-0.33067855,-0.29881862
KAT5,0.2778685,-0.2581493,-0.3915732,0.052271444,-0.104036346,-0.27934995
PITX1,-0.0017304269,-0.07328296,-0.11963032,0.15270233,-0.11963033,-0.09501756
GMEB1,0.07509647,-0.10589828,-0.22535306,0.032231104,0.16914082,-0.06981531
TSC22D1,-0.17191061,-0.23896657,0.62432075,0.085227646,0.6248247,0.31448066
POGZ,-0.10713355,-0.056665864,-0.026744701,-0.006568255,0.35700876,0.19396113
KAT7,0.03964581,-0.13590716,-0.4694508,0.13103934,0.4293923,-0.09095965
ZNF362,-0.023329662,-0.11466078,-0.30338612,0.18533622,0.06742425,-0.06191177
PSPC1,0.0850692,-0.113512084,0.1445301,-0.24873298,0.71348846,0.17253561
THAP4,0.1512839,-0.21849902,0.23021567,0.10017925,-0.4073648,-0.16752148
ZNF627,0.02426921,-0.062899746,-0.08034655,-0.044996347,0.1853528,0.04573915
ZNF595,0.049819086,-0.1657144,0.44589826,0.11324001,-0.066113055,-0.07109336
ZNF558,0.020256346,-0.049454093,-0.23680173,0.043918528,0.068638675,-0.03702373
MIER3,-0.043376815,-0.067632064,0.17919302,0.029080762,0.25903204,0.07621919
ZBTB25,0.0938801,-0.13935865,-0.17968203,0.01447447,0.18001221,-0.059395727
MGA,-0.16546784,-0.06307886,0.4295284,-0.054018307,0.9077067,0.3190098
ZNF726,0.08985096,-0.076279774,-0.33302218,0.09951584,-0.25388286,-0.16802582
SMAD2,-0.017185878,-0.20586182,0.34048116,-0.04323187,0.18163817,0.19335178
ZNF90,0.1519096,-0.15596347,0.0016108877,0.14605576,-0.45573574,-0.24910255
ZNF410,-0.0033832497,-0.023218997,-0.1376268,0.037171323,-0.1376268,-0.01552614
LYAR,0.30952138,-0.3324979,-0.3646083,0.19276112,-0.39922926,-0.40402636
ZNF316,-0.09011893,0.03480324,0.22145906,-0.031838622,0.24615799,0.13354422
SMAD4,-0.01565533,-0.12320355,-0.48881522,-0.025245674,0.2505685,0.1253673
ZNF3,-0.037195046,-0.102406874,-0.20163524,0.03734573,0.25973243,0.084014766
DMAP1,0.2645646,-0.29873478,-0.5725759,0.14284556,-0.047287222,-0.3167934
TEF,-0.043456253,-0.0499791,-0.10131109,0.09224658,-0.1013111,-0.011471923
DEAF1,-0.086437926,-0.101024285,-0.122161575,0.17179614,0.48467937,0.028457243
HOMEZ,0.13165914,-0.13795534,-0.2809843,0.008610626,-0.16526721,-0.10612045
ZNF626,0.20410784,-0.234478,-0.51616305,0.1093436,-0.28031394,-0.23879811
ARNTL,-0.072513215,-0.07608093,-0.22455497,0.17893851,0.7570581,-0.015684972
ZFP91,0.04860953,-0.1548193,-0.3830715,0.11464119,-0.31012085,-0.071484596
ZNF599,0.08628499,-0.117147714,-0.22479919,0.08157592,-0.109272964,-0.12186811
