,gene,cluster,geneFrequency,geneFrequencyOutsideCluster,geneFrequencySecondBest,geneFrequencyGlobal,secondBestClusterName,tfidf,idf,qval
121,MST1,0,0.355292376,0.060734533,0.432748538,0.109787164,14,0.78491606,2.209211659,0
122,HSPG2,0,0.806439674,0.294084299,0.906432749,0.379406689,14,0.781558261,0.969146591,0
123,LINC01819,0,0.355292376,0.062336702,0.415204678,0.111122524,14,0.780620647,2.197121863,0
124,CCNQ,0,0.587219344,0.200369731,0.760233918,0.264791684,14,0.780304029,1.328811861,0
125,ATP2B1,0,0.771527264,0.282326842,0.67251462,0.363793245,14,0.7801449,1.011169581,0
126,ADGRG6,0,0.79151246,0.28969682,0.894736842,0.373264032,14,0.780011191,0.98546925,0
127,SEMA4B,0,0.714902541,0.26019226,0.730994152,0.33591503,14,0.779885065,1.090897038,0
128,ABCC3,0,0.435479891,0.113334977,0.301061008,0.166981675,11,0.779452918,1.789871205,0
129,AAMDC,0,0.491117691,0.147670693,0.608187135,0.20486482,14,0.778620408,1.58540493,0
130,CAMK2N1,0,0.505181347,0.156248459,0.466372116,0.214356151,7,0.778038073,1.540116391,0
131,CPED1,0,0.293486306,0.026103032,0.403508772,0.07063029,14,0.777825639,2.650296189,0
132,FGFR1,0,0.609918579,0.213408923,0.520467836,0.27943956,14,0.777627436,1.274969255,0
133,PLOD3,0,0.787934863,0.289918659,0.719298246,0.372853151,14,0.777353396,0.986570633,0
134,LVRN,0,0.773747841,0.284791718,0.888888889,0.366217438,14,0.777251394,1.00452803,0
135,IGSF8,0,0.69343696,0.254991373,0.754385965,0.328005588,14,0.772991262,1.114724634,0
136,ARSK,0,0.477917592,0.143307863,0.397660819,0.199030323,14,0.771501455,1.614298089,0
137,ERGIC1,0,0.752405625,0.28040424,0.801169591,0.359006492,14,0.770775464,1.024414807,0
138,ANGPTL4,0,0.723908216,0.269238353,0.528514589,0.344954392,11,0.770486691,1.064343067,0
139,PARVA,0,0.699235134,0.259058418,0.777777778,0.332360917,14,0.770231135,1.101533801,0
140,SMIM1,0,0.575869726,0.2,0.742690058,0.262593475,14,0.770023147,1.337148164,0
141,CSGALNACT1,0,0.521835677,0.170150357,0.543859649,0.228716411,14,0.769849785,1.475272425,0
142,TXNDC15,0,0.560695781,0.192851861,0.532163743,0.254108801,14,0.768149157,1.369992753,0
143,C15orf48,0,0.710954848,0.266403747,0.637426901,0.340434711,14,0.76607654,1.077531916,0
