,VCT,VCT_CCC,EVT_1_like,EVT_early,EVT_mid,iEVT,EVT_late
DUXA,0.00024009896,0.00014559514,0.0,0.0,0.00027073812,0.0056710267,0.0054576416
ZBTB39,0.029154317,0.021715088,0.025521116,0.019279532,0.014347905,0.03363835,0.009195606
ZNF559,0.01812111,0.017394919,0.024273245,0.018077185,0.017083216,0.04617881,0.01235304
ZNF497,0.0066231387,0.0032627296,0.0027329251,0.0039119837,0.00209028,0.0064246715,0.0
ZKSCAN1,0.37574136,0.4158444,0.28182924,0.41069937,0.27794588,0.5014069,0.23892239
LRRFIP1,0.8060614,1.1863148,1.4288322,1.4565719,1.2930372,1.3482897,1.0866956
ZNF611,0.09659429,0.13596806,0.07271093,0.14133866,0.07275277,0.13656864,0.06506858
ZNF419,0.020694545,0.011911772,0.011367305,0.0141587015,0.010091541,0.01824155,0.012377785
ZNF790,0.0381868,0.03423906,0.034228534,0.032984074,0.025428502,0.03860998,0.03126466
ZNF772,0.012094868,0.008378504,0.005587665,0.0065857614,0.006915845,0.00569477,0.0043849056
TBX3,0.3556099,0.115285195,0.033617202,0.12836517,0.030164797,0.088576615,0.015036291
E2F7,0.042668924,0.02470788,0.032685656,0.0038437576,0.0018708708,0.0,0.0003830472
KLF16,0.061028924,0.059362266,0.06112881,0.050078843,0.06525655,0.118756235,0.06439692
ZNF131,0.29979128,0.17423308,0.21403214,0.158677,0.17709562,0.34184703,0.15894724
ZNF8,0.033062845,0.02809597,0.017648812,0.025357094,0.01905408,0.04513327,0.014484643
MYT1L,0.00095174136,0.0009279961,0.0025017671,0.00057572755,0.0014363591,0.0,0.0
TFE3,0.11454446,0.10093965,0.053389333,0.09287189,0.04226475,0.07137808,0.03305148
ZNF585B,0.025589777,0.030554151,0.027535966,0.034959894,0.025689919,0.069676846,0.012806696
ZNF146,0.21611209,0.26374152,0.2718522,0.24324064,0.18629068,0.20207943,0.15464424
ZKSCAN4,0.022266103,0.02799119,0.023607915,0.030342044,0.025701512,0.023524277,0.011256011
NR1H2,0.21446045,0.20781742,0.21876198,0.2447731,0.22518617,0.18475243,0.22763029
CDC5L,0.3327737,0.31089216,0.41094375,0.31301227,0.26950848,0.24983944,0.23414694
PHTF2,0.1500271,0.12817991,0.071691096,0.09751977,0.05450025,0.028266843,0.024295365
TWIST1,0.11135076,0.025048183,0.012305211,0.02796049,0.0064635086,0.039765112,0.0039599673
ZNF699,0.007486102,0.014020885,0.022810983,0.021974852,0.019491749,0.035428643,0.01535194
